participant_id,trial_index,interface_source,target_color_name,target_hex,clicked_color_name,clicked_hex,time_taken_ms,is_correct
Sean,178,round2,Yellow,#FFFF00,Yellow,#FFFF00,1242.5999999046326,True
Sean,179,round2,Purple,#7030A0,Purple,#7030A0,1154.6000001430511,True
Sean,180,round2,Red,#E04747,Red,#E04747,1803.5999999046326,True
Sean,181,round1,Red,#ED1E24,Red,#ED1E24,904.9000000953674,True
Sean,182,round2,Red,#E04747,Red,#E04747,1983.7999999523163,True
Sean,183,round2,Purple,#7030A0,Purple,#7030A0,1457.3999998569489,True
Sean,184,round1,Orange,#FEBC02,Orange,#FEBC02,1156.2000000476837,True
Sean,185,round1,Blue,#00B0F0,Blue,#00B0F0,998.2000000476837,True
Sean,186,original,Blue,#002F8E,Blue,#002F8E,1556.0,True
Sean,187,round2,Green,#04F994,Green,#04F994,1777.5,True
Sean,188,original,Red,#FF0000,Brown,#7F6000,1414.4000000953674,False
Sean,189,round2,Green,#04F994,Green,#04F994,1617.1000001430511,True
Sean,190,original,Green,#9DE951,Green,#9DE951,1887.5,True
Sean,191,round2,Yellow,#FFFF00,Yellow,#FFFF00,1327.7000000476837,True
Sean,192,original,Green,#9DE951,Green,#9DE951,1989.9000000953674,True
Sean,193,round1,Green,#92D050,Green,#92D050,1515.2000000476837,True
Sean,194,round2,Purple,#7030A0,Purple,#7030A0,2048.0,True
Sean,195,round2,Orange,#FEBC02,Orange,#FEBC02,2109.600000143051,True
Sean,196,round2,Yellow,#FFFF00,Yellow,#FFFF00,958.5,True
Sean,197,round2,Purple,#7030A0,Purple,#7030A0,1790.7000000476837,True
Sean,198,round2,Purple,#7030A0,Purple,#7030A0,1625.0,True
Sean,199,original,Green,#9DE951,Green,#9DE951,1642.0,True
Sean,200,round2,Red,#E04747,Red,#E04747,1631.0,True
Sean,201,original,Red,#FF0000,Brown,#7F6000,2027.7000000476837,False
Sean,202,original,Yellow,#FFFF00,Yellow,#FFFF00,1121.2999999523163,True
Sean,203,round2,Blue,#82EEFD,Blue,#82EEFD,1435.5,True
Sean,204,round2,Blue,#82EEFD,Blue,#82EEFD,918.5999999046326,True
Sean,205,round2,Red,#E04747,Red,#E04747,1569.1999998092651,True
Sean,206,round2,Purple,#7030A0,Purple,#7030A0,1469.2999999523163,True
Sean,207,original,Green,#9DE951,Green,#9DE951,1254.9000000953674,True
Sean,208,round2,Green,#04F994,Yellow,#FFFF00,1778.8999998569489,False
Sean,209,round2,Green,#04F994,Green,#04F994,1378.0,True
Sean,210,round2,Blue,#82EEFD,Blue,#82EEFD,1866.5,True
Sean,211,round2,Green,#04F994,Green,#04F994,2489.899999856949,True
Sean,212,round2,Yellow,#FFFF00,Yellow,#FFFF00,1528.0999999046326,True
Sean,213,round1,Orange,#FEBC02,Green,#92D050,1695.3999998569489,False
Sean,214,original,Blue,#002F8E,Purple,#7030A0,1336.2999999523163,False
Sean,215,round1,Brown,#D4681B,Red,#ED1E24,1492.0,False
Sean,216,original,Orange,#FEBC02,Green,#9DE951,1414.0999999046326,False
Sean,217,round2,Green,#04F994,Green,#04F994,2117.5,True
Sean,218,original,Brown,#7F6000,Brown,#7F6000,1611.2999999523163,True
Sean,219,round1,Blue,#00B0F0,Blue,#00B0F0,1273.4000000953674,True
Sean,220,original,Purple,#7030A0,Blue,#002F8E,1110.7000000476837,False
Sean,221,round2,Blue,#82EEFD,Blue,#82EEFD,958.2000000476837,True
Sean,222,round2,Red,#E04747,Red,#E04747,2271.5,True
Sean,223,round2,Yellow,#FFFF00,Yellow,#FFFF00,948.1999998092651,True
Sean,224,round2,Yellow,#FFFF00,Yellow,#FFFF00,953.5,True
Sean,225,original,Brown,#7F6000,Brown,#7F6000,1654.3999998569489,True
Sean,226,original,Purple,#7030A0,Blue,#002F8E,1148.6000001430511,False
Sean,227,original,Blue,#002F8E,Blue,#002F8E,1395.7000000476837,True
Sean,228,round1,Yellow,#FFFF00,Yellow,#FFFF00,1058.2000000476837,True
Sean,229,round1,Brown,#D4681B,Brown,#D4681B,2070.600000143051,True
Sean,230,round2,Yellow,#FFFF00,Yellow,#FFFF00,1071.8000001907349,True
Sean,231,round2,Green,#04F994,Green,#04F994,1642.0,True
Sean,232,round1,Orange,#FEBC02,Orange,#FEBC02,1846.6000001430511,True
Sean,233,round2,Brown,#5A3507,Brown,#5A3507,1900.2000000476837,True
Sean,234,original,Purple,#7030A0,Blue,#002F8E,1476.2000000476837,False
Sean,235,round2,Green,#04F994,Green,#04F994,1519.2000000476837,True
Sean,236,original,Yellow,#FFFF00,Yellow,#FFFF00,1047.0,True
Sean,237,original,Blue,#002F8E,Blue,#002F8E,2107.9000000953674,True
Sean,238,round2,Red,#E04747,Red,#E04747,2081.399999856949,True
Sean,239,round2,Red,#E04747,Red,#E04747,1998.2999999523163,True
Sean,240,round2,Brown,#5A3507,Brown,#5A3507,1882.3000001907349,True
Sean,241,original,Purple,#7030A0,Blue,#002F8E,1429.0,False
Sean,242,round1,Purple,#7030A0,Purple,#7030A0,1132.5,True
Sean,243,round2,Yellow,#FFFF00,Yellow,#FFFF00,1105.0,True
Sean,244,round2,Green,#04F994,Green,#04F994,1466.4000000953674,True
Sean,245,original,Brown,#7F6000,Red,#FF0000,1423.7000000476837,False
Sean,246,original,Yellow,#FFFF00,Yellow,#FFFF00,1460.1000001430511,True
Sean,247,round2,Orange,#FEBC02,Orange,#FEBC02,1092.7999999523163,True
Sean,248,original,Purple,#7030A0,Purple,#7030A0,1400.4000000953674,True
Sean,249,original,Brown,#7F6000,Red,#FF0000,1426.2999999523163,False
Sean,250,original,Yellow,#FFFF00,Yellow,#FFFF00,917.0999999046326,True
Sean,251,round2,Yellow,#FFFF00,Yellow,#FFFF00,1294.4000000953674,True
Sean,252,round2,Red,#E04747,Red,#E04747,1202.0999999046326,True
Sean,253,round1,Brown,#D4681B,Red,#ED1E24,2083.0999999046326,False
Sean,254,round2,Brown,#5A3507,Brown,#5A3507,1525.2999999523163,True
Sean,255,original,Purple,#7030A0,Purple,#7030A0,1501.2999999523163,True
Sean,256,original,Green,#9DE951,Green,#9DE951,1499.5,True
Sean,257,original,Orange,#FEBC02,Orange,#FEBC02,1750.2000000476837,True
Sean,258,original,Green,#9DE951,Green,#9DE951,1549.0999999046326,True
Sean,259,original,Yellow,#FFFF00,Yellow,#FFFF00,1039.1999998092651,True
Sean,260,round2,Purple,#7030A0,Purple,#7030A0,1143.8999998569489,True
Sean,261,round2,Brown,#5A3507,Brown,#5A3507,1817.6000001430511,True
Sean,262,round2,Blue,#82EEFD,Blue,#82EEFD,1971.0,True
Sean,263,round2,Red,#E04747,Red,#E04747,1798.5,True
Sean,264,round2,Orange,#FEBC02,Orange,#FEBC02,1320.5999999046326,True
Sean,265,round1,Red,#ED1E24,Red,#ED1E24,1559.5,True
